,index,event_id,event_activity,A,O,event_start_timestamp,event_timestamp,event_CaseID
0,535,996,Create application,['Application_1624036826'],[],2016-01-08 09:26:35.439,2016-01-08 09:26:35.439,Application_1624036826
1,536,997,Submit,['Application_1624036826'],[],2016-01-08 09:26:35.497,2016-01-08 09:26:35.497,Application_1624036826
2,537,998,Handle leads,['Application_1624036826'],[],2016-01-08 11:27:49.509,2016-01-08 14:59:05.968,Application_1624036826
3,538,999,Complete,['Application_1624036826'],[],2016-01-08 14:59:05.982,2016-01-09 15:40:43.798,Application_1624036826
4,539,1000,Accept,['Application_1624036826'],[],2016-01-09 15:33:33.674,2016-01-09 15:33:33.674,Application_1624036826
5,540,1001,Create offer,['Application_1624036826'],['Offer_2069800110'],2016-01-09 15:37:44.104,2016-01-09 15:37:44.104,Application_1624036826
6,541,1002,Send,[],['Offer_2069800110'],2016-01-09 15:40:43.784,2016-01-09 15:40:43.784,Application_1624036826
7,542,1003,Call,[],['Offer_2069800110'],2016-01-09 15:40:43.808,2016-01-09 15:40:43.808,Application_1624036826
8,543,1004,Create offer,['Application_1624036826'],['Offer_545478877'],2016-01-29 09:30:22.588,2016-01-29 09:30:22.588,Application_1624036826
9,544,1005,Send,[],['Offer_545478877'],2016-01-29 09:30:44.638,2016-01-29 09:30:44.638,Application_1624036826
10,545,1006,Cancel application,['Application_1624036826'],"['Offer_2069800110', 'Offer_545478877']",2016-02-29 08:03:21.743,2016-02-29 08:03:21.743,Application_1624036826
11,546,1007,Cancel offer,[],['Offer_545478877'],2016-02-29 08:03:21.773,2016-02-29 08:03:21.773,Application_1624036826
12,547,1008,Cancel offer,[],['Offer_2069800110'],2016-02-29 08:03:21.781,2016-02-29 08:03:21.781,Application_1624036826
13,702,1240,Create application,['Application_764468920'],[],2016-01-10 16:21:21.506,2016-01-10 16:21:21.506,Application_764468920
14,703,1241,Submit,['Application_764468920'],[],2016-01-10 16:21:21.569,2016-01-10 16:21:21.569,Application_764468920
15,704,1242,Complete,['Application_764468920'],[],2016-01-11 15:35:39.513,2016-01-11 15:35:39.513,Application_764468920
16,705,1243,Accept,['Application_764468920'],[],2016-01-11 16:28:32.010,2016-01-11 16:28:32.010,Application_764468920
17,706,1244,Create offer,['Application_764468920'],['Offer_1938577920'],2016-01-11 16:33:47.076,2016-01-11 16:33:47.076,Application_764468920
18,707,1245,Create offer,['Application_764468920'],['Offer_1653360886'],2016-01-11 16:34:13.960,2016-01-11 16:34:13.960,Application_764468920
19,708,1246,Send,[],['Offer_1653360886'],2016-01-11 16:34:45.581,2016-01-11 16:34:45.581,Application_764468920
20,709,1247,Send,[],['Offer_1938577920'],2016-01-11 16:34:45.584,2016-01-11 16:34:45.584,Application_764468920
21,710,1248,Call,[],['Offer_1938577920'],2016-01-11 16:34:45.625,2016-01-11 16:34:45.625,Application_764468920
